ID,Nombre,Edad,Género,Ciudad,Comentario,Categoría del problema,Nivel de urgencia,Fecha del reporte,Acceso a internet,Atención previa del gobierno,Zona rural,Nivel_gravedad,Categoria,Frecuencia_similar,Personas_afectadas,Fecha
13,Laura,46.0,Otro,Medellín,falta agua potable en varias casas.,Salud,Urgente,2023-11-08,1,0,0,GRAVE,Salud,1,1,2023-11-08
14,Sofía,72.0,F,Bogotá,no hay suficientes escuelas públicas.,Educación,No urgente,2023-08-19,1,0,0,LEVE,Educación,1,1,2023-08-19
15,Laura,67.0,F,Manizales,falta agua potable en varias casas.,Educación,Urgente,2024-08-16,1,1,1,GRAVE,Educación,1,1,2024-08-16
16,Camilo,77.0,Otro,Manizales,faltan médicos en el centro de salud.,Salud,Urgente,2023-09-01,0,1,1,GRAVE,Salud,1,1,2023-09-01
17,Valentina,22.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,Salud,No urgente,2024-03-15,1,1,1,LEVE,Salud,1,1,2024-03-15
18,Juan,71.0,Otro,Barranquilla,la contaminación del río está aumentando.,Salud,No urgente,2023-12-21,0,1,0,LEVE,Salud,1,1,2023-12-21
19,Sofía,,F,Manizales,,Educación,Urgente,2023-11-02,1,0,1,GRAVE,Educación,1,1,2023-11-02
20,Juan,52.0,M,Medellín,queremos más presencia policial.,Salud,Urgente,2024-06-18,0,0,1,GRAVE,Salud,1,1,2024-06-18
21,Jorge,59.0,M,Cali,faltan médicos en el centro de salud.,Salud,Urgente,2024-07-21,0,0,1,GRAVE,Salud,1,1,2024-07-21
22,Laura,65.0,M,Barranquilla,queremos más presencia policial.,Medio Ambiente,Urgente,2024-04-13,0,1,0,GRAVE,Medio Ambiente,1,1,2024-04-13
23,Jorge,51.0,Otro,Pereira,falta agua potable en varias casas.,Medio Ambiente,Urgente,2024-09-20,0,1,0,GRAVE,Medio Ambiente,1,1,2024-09-20
24,Laura,64.0,F,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,No urgente,2024-05-20,0,1,0,LEVE,Seguridad,1,1,2024-05-20
25,Carlos,28.0,F,Manizales,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-04-22,1,1,1,LEVE,Educación,1,1,2023-04-22
26,Sofía,69.0,F,Cúcuta,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2024-01-11,0,1,1,GRAVE,Seguridad,1,1,2024-01-11
27,Ana,24.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-04-11,0,1,0,LEVE,Medio Ambiente,1,1,2024-04-11
28,Sofía,63.0,Otro,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-08-03,0,1,1,LEVE,Medio Ambiente,1,1,2024-08-03
29,Carlos,46.0,F,Cali,hay problemas con la recolección de basura.,Educación,Urgente,2024-06-29,1,1,1,GRAVE,Educación,1,1,2024-06-29
30,Pedro,34.0,F,Cúcuta,falta agua potable en varias casas.,Seguridad,Urgente,2023-10-17,0,0,0,GRAVE,Seguridad,1,1,2023-10-17
31,Ana,47.0,M,Medellín,queremos más presencia policial.,Salud,Urgente,2024-11-24,1,0,1,GRAVE,Salud,1,1,2024-11-24
32,María,80.0,M,Barranquilla,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-02-06,0,1,1,GRAVE,Medio Ambiente,1,1,2023-02-06
33,Pedro,77.0,Otro,Santa Marta,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2024-11-23,1,1,1,GRAVE,Medio Ambiente,1,1,2024-11-23
34,María,78.0,M,Barranquilla,las basuras no se recogen a tiempo.,Seguridad,Urgente,2024-09-06,1,0,1,GRAVE,Seguridad,1,1,2024-09-06
35,Pedro,54.0,F,Santa Marta,necesitamos más acceso a internet en la zona.,Seguridad,Urgente,2023-03-04,1,0,1,GRAVE,Seguridad,1,1,2023-03-04
36,Pedro,53.0,Otro,Bogotá,las basuras no se recogen a tiempo.,Educación,No urgente,2023-09-12,1,1,0,LEVE,Educación,1,1,2023-09-12
37,Carlos,18.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-23,0,0,0,LEVE,Medio Ambiente,1,1,2024-09-23
38,Juan,61.0,Otro,Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-05-04,0,0,1,GRAVE,Seguridad,1,1,2024-05-04
39,Sofía,33.0,F,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-10-20,0,1,0,LEVE,Medio Ambiente,1,1,2024-10-20
40,Valentina,18.0,M,Manizales,falta agua potable en varias casas.,Educación,No urgente,2023-08-10,0,0,0,LEVE,Educación,1,1,2023-08-10
41,Valentina,,F,Santa Marta,queremos más presencia policial.,Medio Ambiente,Urgente,2024-06-16,0,1,1,GRAVE,Medio Ambiente,1,1,2024-06-16
42,Ana,19.0,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,Salud,No urgente,2024-08-26,0,0,1,LEVE,Salud,1,1,2024-08-26
43,María,50.0,Otro,Cali,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2024-09-13,1,0,0,LEVE,Medio Ambiente,1,1,2024-09-13
44,Laura,60.0,,Medellín,las basuras no se recogen a tiempo.,Educación,No urgente,2023-03-22,0,0,1,LEVE,Educación,1,1,2023-03-22
45,Carlos,29.0,F,Pereira,queremos más presencia policial.,Educación,No urgente,2023-10-31,0,0,0,LEVE,Educación,1,1,2023-10-31
46,Jorge,59.0,Otro,Bucaramanga,hay problemas con la recolección de basura.,Educación,No urgente,2023-07-28,1,0,0,LEVE,Educación,1,1,2023-07-28
47,Camilo,19.0,M,Bogotá,queremos más presencia policial.,Medio Ambiente,No urgente,2023-08-27,0,0,0,LEVE,Medio Ambiente,1,1,2023-08-27
48,Pedro,48.0,Otro,Manizales,faltan médicos en el centro de salud.,Salud,No urgente,2024-07-13,1,1,1,LEVE,Salud,1,1,2024-07-13
49,Laura,32.0,M,Cúcuta,las basuras no se recogen a tiempo.,Salud,Urgente,2024-04-26,0,0,0,GRAVE,Salud,1,1,2024-04-26
50,Juan,48.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-08-02,1,1,1,LEVE,Seguridad,1,1,2024-08-02
51,Ana,66.0,M,Bogotá,las calles están muy oscuras y peligrosas.,Salud,No urgente,2023-02-22,1,1,1,LEVE,Salud,1,1,2023-02-22
52,Jorge,24.0,Otro,Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-02-09,0,1,1,LEVE,Seguridad,1,1,2023-02-09
53,Pedro,53.0,M,Cartagena,la contaminación del río está aumentando.,Seguridad,Urgente,2024-10-07,1,1,0,GRAVE,Seguridad,1,1,2024-10-07
54,María,59.0,Otro,Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-04-22,0,1,0,LEVE,Educación,1,1,2023-04-22
55,Sofía,42.0,F,Bogotá,necesitamos más acceso a internet en la zona.,Salud,Urgente,2024-08-12,1,0,0,GRAVE,Salud,1,1,2024-08-12
56,Camilo,58.0,M,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,2024-06-12,1,1,0,GRAVE,Medio Ambiente,1,1,2024-06-12
57,Jorge,53.0,F,Pereira,necesitamos más acceso a internet en la zona.,Salud,Urgente,2023-12-03,1,1,0,GRAVE,Salud,1,1,2023-12-03
58,Valentina,31.0,M,Bucaramanga,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-10-24,1,1,0,GRAVE,Seguridad,1,1,2023-10-24
59,Valentina,24.0,F,Bogotá,faltan médicos en el centro de salud.,Seguridad,No urgente,2024-11-13,1,1,0,LEVE,Seguridad,1,1,2024-11-13
60,Sofía,31.0,Otro,Cúcuta,queremos más presencia policial.,Medio Ambiente,Urgente,2023-04-22,1,1,1,GRAVE,Medio Ambiente,1,1,2023-04-22
61,Pedro,42.0,Otro,Medellín,necesitamos más acceso a internet en la zona.,Salud,No urgente,2023-10-24,0,1,0,LEVE,Salud,1,1,2023-10-24
62,Valentina,23.0,M,Cartagena,las basuras no se recogen a tiempo.,Salud,No urgente,2024-08-28,1,0,0,LEVE,Salud,1,1,2024-08-28
63,Laura,23.0,,Pereira,queremos más presencia policial.,Seguridad,Urgente,2023-05-23,1,0,1,GRAVE,Seguridad,1,1,2023-05-23
64,Jorge,70.0,M,Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,No urgente,2023-04-22,0,1,0,LEVE,Medio Ambiente,1,1,2023-04-22
65,Ana,30.0,M,Bogotá,queremos más presencia policial.,Seguridad,No urgente,2024-11-15,0,0,1,LEVE,Seguridad,1,1,2024-11-15
66,Sofía,38.0,Otro,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-06-19,1,1,0,LEVE,Seguridad,1,1,2023-06-19
67,Sofía,69.0,M,Manizales,necesitamos más acceso a internet en la zona.,Seguridad,No urgente,2024-04-03,0,0,1,LEVE,Seguridad,1,1,2024-04-03
68,Valentina,,M,Medellín,no hay suficientes escuelas públicas.,Educación,Urgente,2023-07-26,1,1,0,GRAVE,Educación,1,1,2023-07-26
69,Camilo,27.0,F,Cali,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-01-03,0,0,1,GRAVE,Seguridad,1,1,2023-01-03
70,María,66.0,M,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-02-22,1,0,1,GRAVE,Medio Ambiente,1,1,2023-02-22
71,Jorge,22.0,Otro,Barranquilla,,Salud,Urgente,2024-02-15,1,1,0,GRAVE,Salud,1,1,2024-02-15
72,Sofía,19.0,F,Pereira,necesitamos más acceso a internet en la zona.,Medio Ambiente,Urgente,2024-09-23,0,0,0,GRAVE,Medio Ambiente,1,1,2024-09-23
73,Sofía,32.0,Otro,Cali,la contaminación del río está aumentando.,Salud,Urgente,2024-10-07,0,0,1,GRAVE,Salud,1,1,2024-10-07
74,Juan,38.0,F,Cartagena,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-11-25,1,1,1,LEVE,Medio Ambiente,1,1,2024-11-25
75,Valentina,28.0,F,Cartagena,hay problemas con la recolección de basura.,Educación,No urgente,2024-04-14,1,1,1,LEVE,Educación,1,1,2024-04-14
76,Valentina,24.0,Otro,Cúcuta,la contaminación del río está aumentando.,Seguridad,Urgente,2024-05-23,1,1,0,GRAVE,Seguridad,1,1,2024-05-23
77,Valentina,22.0,,Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2023-01-25,0,1,1,LEVE,Medio Ambiente,1,1,2023-01-25
78,Sofía,,M,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2023-11-05,0,0,0,LEVE,Seguridad,1,1,2023-11-05
79,Laura,30.0,F,Cali,necesitamos más acceso a internet en la zona.,Educación,Urgente,2023-03-15,1,0,1,GRAVE,Educación,1,1,2023-03-15
80,Valentina,25.0,Otro,Santa Marta,las calles están muy oscuras y peligrosas.,Seguridad,Urgente,2024-07-12,1,0,1,GRAVE,Seguridad,1,1,2024-07-12
81,Juan,21.0,M,Bogotá,,Medio Ambiente,Urgente,2024-08-17,0,1,1,GRAVE,Medio Ambiente,1,1,2024-08-17
82,Juan,19.0,F,Cali,la contaminación del río está aumentando.,Seguridad,Urgente,2023-05-29,0,0,0,GRAVE,Seguridad,1,1,2023-05-29
83,Camilo,58.0,Otro,Manizales,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-10-09,1,0,1,GRAVE,Medio Ambiente,1,1,2023-10-09
84,Laura,76.0,F,Santa Marta,la contaminación del río está aumentando.,Salud,Urgente,2024-09-03,1,1,0,GRAVE,Salud,1,1,2024-09-03
85,Camilo,16.0,Otro,Cali,faltan médicos en el centro de salud.,Salud,No urgente,2024-05-05,1,1,0,LEVE,Salud,1,1,2024-05-05
86,Juan,38.0,M,Bogotá,necesitamos más acceso a internet en la zona.,Educación,No urgente,2024-04-21,0,1,1,LEVE,Educación,1,1,2024-04-21
87,Sofía,75.0,M,Barranquilla,,Salud,No urgente,2023-07-28,0,1,1,LEVE,Salud,1,1,2023-07-28
88,Pedro,58.0,Otro,Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2023-06-04,1,0,1,LEVE,Medio Ambiente,1,1,2023-06-04
89,Camilo,61.0,M,Cúcuta,las basuras no se recogen a tiempo.,Seguridad,Urgente,2024-07-27,0,0,0,GRAVE,Seguridad,1,1,2024-07-27
90,Laura,60.0,F,Cali,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2023-10-24,0,1,1,LEVE,Medio Ambiente,1,1,2023-10-24
91,Jorge,66.0,F,Manizales,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-10-30,0,1,1,GRAVE,Seguridad,1,1,2023-10-30
92,Juan,,M,Bogotá,faltan médicos en el centro de salud.,Seguridad,Urgente,2023-07-12,0,0,1,GRAVE,Seguridad,1,1,2023-07-12
93,Sofía,25.0,M,Medellín,faltan médicos en el centro de salud.,Seguridad,No urgente,2024-02-25,0,1,0,LEVE,Seguridad,1,1,2024-02-25
94,Carlos,,F,Medellín,queremos más presencia policial.,Seguridad,No urgente,2024-11-09,1,1,1,LEVE,Seguridad,1,1,2024-11-09
95,Jorge,20.0,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,2023-07-24,0,1,0,LEVE,Educación,1,1,2023-07-24
96,Juan,31.0,M,Cartagena,queremos más presencia policial.,Seguridad,Urgente,2024-07-10,1,0,0,GRAVE,Seguridad,1,1,2024-07-10
97,Valentina,72.0,F,Medellín,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-08-25,1,0,0,GRAVE,Medio Ambiente,1,1,2023-08-25
98,Carlos,66.0,Otro,Manizales,hay problemas con la recolección de basura.,Medio Ambiente,Urgente,2023-01-23,0,1,0,GRAVE,Medio Ambiente,1,1,2023-01-23
99,Jorge,67.0,Otro,Medellín,faltan médicos en el centro de salud.,Salud,No urgente,2024-01-17,1,0,1,LEVE,Salud,1,1,2024-01-17
100,Sofía,,F,Cartagena,queremos más presencia policial.,Salud,Urgente,2024-08-17,0,0,1,GRAVE,Salud,1,1,2024-08-17
101,Valentina,36.0,Otro,Cartagena,faltan médicos en el centro de salud.,Seguridad,Urgente,2024-09-25,0,0,0,GRAVE,Seguridad,1,1,2024-09-25
102,María,51.0,M,Barranquilla,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2024-03-03,1,0,1,LEVE,Educación,1,1,2024-03-03
103,Jorge,27.0,F,Manizales,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-05-23,0,1,0,LEVE,Medio Ambiente,1,1,2024-05-23
104,Jorge,44.0,Otro,Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-02-23,1,0,0,LEVE,Seguridad,1,1,2023-02-23
105,Sofía,50.0,F,Cúcuta,la contaminación del río está aumentando.,Educación,No urgente,2024-03-16,1,0,0,LEVE,Educación,1,1,2024-03-16
106,Ana,19.0,F,Medellín,faltan médicos en el centro de salud.,Salud,Urgente,2023-09-07,1,1,1,GRAVE,Salud,1,1,2023-09-07
107,Carlos,,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,No urgente,2024-03-17,1,0,1,LEVE,Medio Ambiente,1,1,2024-03-17
108,Jorge,54.0,F,Medellín,faltan médicos en el centro de salud.,Educación,No urgente,2024-07-16,1,1,0,LEVE,Educación,1,1,2024-07-16
109,Valentina,44.0,,Cúcuta,faltan médicos en el centro de salud.,Educación,No urgente,2024-08-01,0,0,1,LEVE,Educación,1,1,2024-08-01
110,Juan,27.0,M,Cúcuta,faltan médicos en el centro de salud.,Salud,Urgente,2023-01-12,1,0,0,GRAVE,Salud,1,1,2023-01-12
111,Juan,74.0,Otro,Pereira,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-12-03,1,0,0,GRAVE,Seguridad,1,1,2023-12-03
112,Juan,65.0,Otro,Pereira,hay problemas con la recolección de basura.,Salud,Urgente,2023-04-08,1,0,1,GRAVE,Salud,1,1,2023-04-08
113,Valentina,32.0,F,Barranquilla,,Educación,No urgente,2023-01-02,0,0,1,LEVE,Educación,1,1,2023-01-02
114,Carlos,19.0,Otro,Medellín,queremos más presencia policial.,Seguridad,Urgente,2023-04-05,0,1,1,GRAVE,Seguridad,1,1,2023-04-05
115,Camilo,25.0,Otro,Bogotá,hay problemas con la recolección de basura.,Salud,Urgente,2024-04-01,1,1,1,GRAVE,Salud,1,1,2024-04-01
116,Jorge,36.0,Otro,Bogotá,no tenemos centros culturales ni bibliotecas.,Seguridad,No urgente,2024-02-15,0,1,0,LEVE,Seguridad,1,1,2024-02-15
117,Laura,55.0,F,Cali,falta agua potable en varias casas.,Medio Ambiente,Urgente,2023-09-09,0,1,1,GRAVE,Medio Ambiente,1,1,2023-09-09
118,Jorge,62.0,F,Cartagena,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-04-01,0,1,1,GRAVE,Medio Ambiente,1,1,2023-04-01
119,María,43.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Educación,No urgente,2023-01-29,1,0,1,LEVE,Educación,1,1,2023-01-29
120,Pedro,54.0,Otro,Santa Marta,no tenemos centros culturales ni bibliotecas.,Educación,No urgente,2023-09-21,1,1,0,LEVE,Educación,1,1,2023-09-21
121,Carlos,,F,Cali,faltan médicos en el centro de salud.,Seguridad,Urgente,2024-03-10,1,0,0,GRAVE,Seguridad,1,1,2024-03-10
122,María,65.0,M,Cartagena,faltan médicos en el centro de salud.,Medio Ambiente,No urgente,2023-07-18,0,0,1,LEVE,Medio Ambiente,1,1,2023-07-18
123,Sofía,66.0,,Cartagena,las basuras no se recogen a tiempo.,Medio Ambiente,Urgente,2024-07-02,1,1,1,GRAVE,Medio Ambiente,1,1,2024-07-02
124,Ana,31.0,Otro,Barranquilla,queremos más presencia policial.,Seguridad,No urgente,2024-06-10,1,1,0,LEVE,Seguridad,1,1,2024-06-10
125,Pedro,47.0,M,Medellín,necesitamos más acceso a internet en la zona.,Medio Ambiente,No urgente,2024-09-09,1,0,0,LEVE,Medio Ambiente,1,1,2024-09-09
126,Juan,61.0,Otro,Pereira,hay problemas con la recolección de basura.,Educación,No urgente,2023-06-04,1,0,0,LEVE,Educación,1,1,2023-06-04
127,Camilo,32.0,Otro,Bucaramanga,la contaminación del río está aumentando.,Seguridad,Urgente,2023-06-20,1,0,0,GRAVE,Seguridad,1,1,2023-06-20
128,Laura,46.0,M,Pereira,las basuras no se recogen a tiempo.,Educación,Urgente,2024-04-22,0,1,1,GRAVE,Educación,1,1,2024-04-22
129,Valentina,66.0,Otro,Pereira,necesitamos más acceso a internet en la zona.,Educación,No urgente,2023-08-09,1,0,1,LEVE,Educación,1,1,2023-08-09
130,Valentina,17.0,M,Bogotá,,Seguridad,Urgente,2024-05-02,0,0,0,GRAVE,Seguridad,1,1,2024-05-02
131,Juan,30.0,F,Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,No urgente,2024-07-15,1,0,0,LEVE,Medio Ambiente,1,1,2024-07-15
132,Valentina,65.0,Otro,Bucaramanga,las basuras no se recogen a tiempo.,Salud,Urgente,2024-01-21,1,0,0,GRAVE,Salud,1,1,2024-01-21
133,Carlos,15.0,Otro,Bucaramanga,faltan médicos en el centro de salud.,Seguridad,Urgente,2023-10-06,1,0,1,GRAVE,Seguridad,1,1,2023-10-06
134,Camilo,71.0,F,Pereira,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-12-24,0,0,0,GRAVE,Medio Ambiente,1,1,2023-12-24
135,Carlos,27.0,,Bogotá,las basuras no se recogen a tiempo.,Educación,Urgente,2023-03-09,1,0,0,GRAVE,Educación,1,1,2023-03-09
136,Jorge,36.0,M,Bogotá,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-01-08,0,1,0,GRAVE,Medio Ambiente,1,1,2024-01-08
137,Sofía,18.0,Otro,Cartagena,la contaminación del río está aumentando.,Salud,Urgente,2024-04-16,0,1,0,GRAVE,Salud,1,1,2024-04-16
138,Carlos,28.0,M,Cúcuta,no tenemos centros culturales ni bibliotecas.,Salud,Urgente,2023-08-03,1,0,1,GRAVE,Salud,1,1,2023-08-03
139,Carlos,55.0,M,Medellín,las basuras no se recogen a tiempo.,Salud,No urgente,2024-05-28,1,1,1,LEVE,Salud,1,1,2024-05-28
140,Pedro,57.0,Otro,Pereira,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2023-11-05,1,0,1,GRAVE,Medio Ambiente,1,1,2023-11-05
141,Juan,73.0,Otro,Bucaramanga,no tenemos centros culturales ni bibliotecas.,Medio Ambiente,Urgente,2024-03-17,1,0,0,GRAVE,Medio Ambiente,1,1,2024-03-17
142,Jorge,27.0,M,Cúcuta,las basuras no se recogen a tiempo.,Educación,No urgente,2023-09-21,1,1,0,LEVE,Educación,1,1,2023-09-21
143,Valentina,60.0,M,Manizales,no hay suficientes escuelas públicas.,Educación,Urgente,2024-04-10,0,1,0,GRAVE,Educación,1,1,2024-04-10
144,Laura,71.0,F,Medellín,falta agua potable en varias casas.,Seguridad,No urgente,2023-11-27,1,0,1,LEVE,Seguridad,1,1,2023-11-27
145,Valentina,,Otro,Pereira,la contaminación del río está aumentando.,Salud,Urgente,2024-08-11,0,1,0,GRAVE,Salud,1,1,2024-08-11
146,Jorge,35.0,M,Santa Marta,queremos más presencia policial.,Medio Ambiente,No urgente,2024-02-04,0,0,0,LEVE,Medio Ambiente,1,1,2024-02-04
147,Valentina,43.0,F,Barranquilla,no hay suficientes escuelas públicas.,Salud,No urgente,2024-07-25,1,1,1,LEVE,Salud,1,1,2024-07-25
148,Ana,16.0,Otro,Cartagena,la contaminación del río está aumentando.,Salud,No urgente,2024-06-20,1,1,1,LEVE,Salud,1,1,2024-06-20
149,Ana,51.0,F,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2023-02-15,1,1,0,LEVE,Medio Ambiente,1,1,2023-02-15
150,María,55.0,F,Cúcuta,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-12-02,1,1,0,GRAVE,Seguridad,1,1,2023-12-02
151,Pedro,60.0,M,Santa Marta,la contaminación del río está aumentando.,Seguridad,Urgente,2023-06-12,0,1,1,GRAVE,Seguridad,1,1,2023-06-12
152,Sofía,52.0,M,Manizales,falta agua potable en varias casas.,Salud,No urgente,2023-06-26,1,1,0,LEVE,Salud,1,1,2023-06-26
153,Laura,,M,Bogotá,las calles están muy oscuras y peligrosas.,Medio Ambiente,No urgente,2024-02-14,1,1,0,LEVE,Medio Ambiente,1,1,2024-02-14
154,María,79.0,M,Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,Urgente,2023-02-03,0,1,0,GRAVE,Medio Ambiente,1,1,2023-02-03
155,Sofía,40.0,M,Cúcuta,falta agua potable en varias casas.,Medio Ambiente,No urgente,2024-06-18,1,0,1,LEVE,Medio Ambiente,1,1,2024-06-18
156,Ana,64.0,F,Cali,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-04-11,0,0,1,GRAVE,Seguridad,1,1,2023-04-11
157,Camilo,37.0,Otro,Cartagena,falta agua potable en varias casas.,Educación,No urgente,2023-02-08,0,1,0,LEVE,Educación,1,1,2023-02-08
158,Juan,40.0,F,Bogotá,no hay suficientes escuelas públicas.,Medio Ambiente,Urgente,2023-12-08,0,1,0,GRAVE,Medio Ambiente,1,1,2023-12-08
159,Laura,47.0,F,Santa Marta,falta agua potable en varias casas.,Seguridad,No urgente,2024-11-09,0,0,1,LEVE,Seguridad,1,1,2024-11-09
160,Carlos,18.0,F,Barranquilla,no hay suficientes escuelas públicas.,Seguridad,Urgente,2023-04-19,0,0,1,GRAVE,Seguridad,1,1,2023-04-19
161,Laura,49.0,Otro,Cali,la contaminación del río está aumentando.,Educación,No urgente,2023-07-09,0,0,0,LEVE,Educación,1,1,2023-07-09
162,Carlos,66.0,M,Manizales,,Seguridad,Urgente,2024-02-14,0,0,0,GRAVE,Seguridad,1,1,2024-02-14
163,Juan,79.0,F,Bucaramanga,hay problemas con la recolección de basura.,Salud,No urgente,2023-09-14,1,0,0,LEVE,Salud,1,1,2023-09-14
164,Juan,21.0,Otro,Pereira,las basuras no se recogen a tiempo.,Salud,Urgente,2024-01-18,1,0,0,GRAVE,Salud,1,1,2024-01-18
165,Sofía,39.0,F,Bogotá,faltan médicos en el centro de salud.,Seguridad,No urgente,2024-02-05,0,0,0,LEVE,Seguridad,1,1,2024-02-05
166,Camilo,79.0,,Manizales,no tenemos centros culturales ni bibliotecas.,Seguridad,Urgente,2023-01-24,1,0,0,GRAVE,Seguridad,1,1,2023-01-24
167,Jorge,46.0,,Barranquilla,las calles están muy oscuras y peligrosas.,Medio Ambiente,Urgente,2023-06-03,0,0,1,GRAVE,Medio Ambiente,1,1,2023-06-03
168,Valentina,41.0,Otro,Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,No urgente,2023-05-25,0,1,1,LEVE,Seguridad,1,1,2023-05-25
169,María,25.0,Otro,Cali,faltan médicos en el centro de salud.,Educación,No urgente,2023-12-08,0,1,0,LEVE,Educación,1,1,2023-12-08
170,Ana,21.0,Otro,Pereira,las basuras no se recogen a tiempo.,Salud,No urgente,2024-05-04,0,1,1,LEVE,Salud,1,1,2024-05-04
171,Carlos,18.0,F,Bucaramanga,las basuras no se recogen a tiempo.,Seguridad,Urgente,2023-05-11,0,0,1,GRAVE,Seguridad,1,1,2023-05-11
172,Carlos,16.0,Otro,Bogotá,no hay suficientes escuelas públicas.,Seguridad,No urgente,2024-08-02,0,1,0,LEVE,Seguridad,1,1,2024-08-02
